Equipo,Escalador,X,Y,Z,Inclinacion X,Inclinacion Y,Cima
LIFFT,ivan,13928.794316760264,13913.119860774976,3159.9,-183.907,-179.88,
LIFFT,facu,13956.405037167711,14188.633291523753,3112.1,-186.064,-182.467,
LIFFT,lucas,13850.238645004523,13963.181343534829,3164.6,-183.572,-179.768,
LIFFT,fran,13927.527121371979,14127.517167103793,3126.4,-185.387,-181.735,
LIFFT,ivan,13928.794316760264,13913.119860774976,3159.9,-183.907,-179.88,
LIFFT,facu,13956.405037167711,14188.633291523753,3112.1,-186.064,-182.467,
LIFFT,lucas,13850.238645004523,13963.181343534829,3164.6,-183.572,-179.768,
LIFFT,fran,13927.527121371979,14127.517167103793,3126.4,-185.387,-181.735,
LIFFT,ivan,13928.794316760264,13913.119860774976,3159.9,-183.907,-179.88,
LIFFT,facu,13908.931075970058,14172.941796750989,3122.2,-185.542,-182.001,
LIFFT,lucas,13891.443262425832,13991.504117113058,3153.6,-184.127,-180.301,
LIFFT,fran,13956.393231219034,14086.691345589734,3128.2,-185.354,-181.581,
LIFFT,ivan,13933.410615761424,13962.906302539093,3151.4,-184.293,-180.345,
LIFFT,facu,13908.931075970058,14172.941796750989,3122.2,-185.542,-182.001,
LIFFT,lucas,13891.443262425832,13991.504117113058,3153.6,-184.127,-180.301,
LIFFT,fran,13956.393231219034,14086.691345589734,3128.2,-185.354,-181.581,
LIFFT,ivan,13933.410615761424,13962.906302539093,3151.4,-184.293,-180.345,
LIFFT,facu,13908.931075970058,14172.941796750989,3122.2,-185.542,-182.001,
LIFFT,lucas,13891.443262425832,13991.504117113058,3153.6,-184.127,-180.301,
LIFFT,fran,13956.393231219034,14086.691345589734,3128.2,-185.354,-181.581,
LIFFT,ivan,13933.410615761424,13962.906302539093,3151.4,-184.293,-180.345,
LIFFT,facu,13908.931075970058,14172.941796750989,3122.2,-185.542,-182.001,
LIFFT,lucas,13891.443262425832,13991.504117113058,3153.6,-184.127,-180.301,
LIFFT,fran,13956.393231219034,14086.691345589734,3128.2,-185.354,-181.581,
LIFFT,ivan,13933.410615761424,13962.906302539093,3151.4,-184.293,-180.345,
LIFFT,facu,13908.931075970058,14172.941796750989,3122.2,-185.542,-182.001,
LIFFT,lucas,13891.443262425832,13991.504117113058,3153.6,-184.127,-180.301,
LIFFT,fran,13956.393231219034,14086.691345589734,3128.2,-185.354,-181.581,
LIFFT,ivan,13933.410615761424,13962.906302539093,3151.4,-184.293,-180.345,
LIFFT,facu,13937.448313026258,14131.871525377639,3124.1,-185.504,-181.842,
LIFFT,lucas,13860.48498200851,13952.241095405572,3164.7,-183.585,-179.745,
LIFFT,fran,13915.69731346534,14057.642382128286,3139.3,-184.798,-181.045,
