EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13269.0, 12733.87085966712, 3438.2669616020207
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14942.235639317449, 14544.0, 2889.9043500090784
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14875.0, 14000.0, 2991.092155009452
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14939.637563106107, 14542.5, 2890.600575267168
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14665.0, 15151.813787033334, 2835.0559839802936
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13562.5, 14757.772228311387, 3085.0350643794536
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 12878.497102099172, 14647.5, 3211.457827579745
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15155.0, 14000.0, 2943.8679584120982
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13181.605993423727, 14472.5, 3191.1362860831355
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14227.5, 13605.958441278053, 3160.0462285963367
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15400.0, 2906.930056710775
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13247.5, 12696.631767304389, 3446.7769006500325
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14969.94845223855, 14560.0, 2882.4707791700444
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14900.0, 14000.0, 2986.8998109640825
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14966.484350623425, 14558.0, 2883.4006923335282
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14684.0, 15184.722752377143, 2826.157828188154
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 15152.0, 2948.3840302457465
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13550.0, 14779.422863405998, 3083.585739025173
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 12846.454162159149, 14666.0, 3213.589475312161
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15188.0, 14000.0, 2938.2631984877125
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13158.223307521548, 14486.0, 3192.7140760748725
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14234.0, 13594.700111028855, 3160.7591442456287
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15440.0, 2900.200378071834
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13226.0, 12659.392674941657, 3455.2631722139067
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14997.661265159652, 14576.0, 2875.024100973652
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14925.0, 14000.0, 2982.702741020794
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14993.331138140742, 14573.5, 2876.1885084522096
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14703.0, 15217.631717720953, 2817.2411889741115
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 15184.0, 2943.061262759924
